iter	Passed	Remaining
813	84554	19320
814	84641	19213
815	84741	19108
816	84823	18999
817	84898	18889
818	84982	18781
819	85053	18670
820	85122	18559
821	85190	18447
822	85257	18335
823	85318	18223
824	85391	18113
825	85460	18002
826	85525	17891
827	85587	17779
828	85664	17670
829	85723	17557
830	85805	17450
831	85904	17346
832	86054	17252
833	86172	17151
834	86264	17046
835	86341	16937
836	86431	16831
837	86511	16724
838	86587	16615
839	86651	16505
840	86726	16396
841	86796	16287
842	86871	16178
843	86957	16072
844	87049	15967
845	87147	15863
846	87237	15758
847	87325	15652
848	87444	15552
849	87565	15452
850	87708	15356
851	88228	15325
852	88349	15225
853	88440	15119
854	88529	15013
855	88612	14906
856	88705	14801
857	88792	14695
858	88877	14588
859	88973	14484
860	89060	14377
861	89142	14271
862	89251	14168
863	89321	14059
864	89391	13951
865	89455	13841
866	89556	13738
867	89634	13630
868	89704	13522
869	89782	13415
870	89867	13309
871	89936	13201
872	89996	13092
873	90064	12984
874	90128	12875
875	90194	12767
876	90265	12659
877	90343	12553
878	90416	12446
879	90503	12341
880	90562	12232
881	90631	12125
882	90714	12019
883	90805	11915
884	90883	11809
885	90961	11703
886	91039	11597
887	91110	11491
888	91178	11384
889	91250	11278
890	91305	11169
891	91377	11063
892	91448	10957
893	91507	10849
894	91564	10742
895	91620	10634
896	91683	10527
897	91744	10420
898	91799	10313
899	91858	10206
900	91921	10100
901	91978	9993
902	92045	9887
903	92141	9784
904	92251	9683
905	92339	9580
906	92418	9476
907	92478	9370
908	92543	9264
909	92607	9158
910	92671	9053
911	92742	8948
912	92802	8843
913	92857	8737
914	92917	8631
915	92974	8526
916	93029	8420
917	93081	8314
918	93141	8209
919	93213	8105
920	93288	8001
921	93375	7899
922	93442	7795
923	93509	7691
924	93585	7588
925	93659	7484
926	93716	7380
927	93771	7275
928	93838	7171
929	93900	7067
930	93962	6963
931	94040	6861
932	94104	6757
933	94171	6654
934	94241	6551
935	94304	6448
936	94374	6345
937	94447	6242
938	94520	6140
939	94605	6038
940	94674	5936
941	94733	5832
942	94797	5730
943	94862	5627
944	94917	5524
945	94978	5421
946	95040	5319
947	95100	5216
948	95183	5115
949	95249	5013
950	95311	4910
951	95381	4809
952	95435	4706
953	95502	4604
954	95560	4502
955	95622	4401
956	95680	4299
957	95746	4197
958	95813	4096
959	95874	3994
960	95952	3894
961	96026	3793
962	96108	3692
963	96188	3592
964	96278	3491
965	96406	3393
966	96476	3292
967	96567	3192
968	96675	3092
969	96748	2992
970	96823	2891
971	96895	2791
972	96953	2690
973	97005	2589
974	97065	2488
975	97123	2388
976	97181	2287
977	97229	2187
978	97283	2086
979	97337	1986
980	97391	1886
981	97440	1786
982	97491	1686
983	97546	1586
984	97594	1486
985	97659	1386
986	97729	1287
987	97836	1188
988	97892	1088
989	97945	989
990	98011	890
991	98067	790
992	98125	691
993	98176	592
994	98233	493
995	98293	394
996	98360	295
997	98420	197
998	98473	98
999	98528	0
